fingerprint_bits,scheme,num_buckets,load_factor,num_inserted,num_queries,false_positives,fpr_pct,theoretical_pct
2,segmented,262144,0.020763,5443,2621440,40554,1.547012,50.000000
2,standard,262144,0.020763,5443,2621440,40763,1.554985,50.000000
3,segmented,262144,0.041046,10760,2621440,33362,1.272659,25.000000
3,standard,262144,0.043919,11513,2621440,35569,1.356850,25.000000
4,segmented,262144,0.096481,25292,2621440,35375,1.349449,12.500000
4,standard,262144,0.070183,18398,2621440,25661,0.978889,12.500000
5,segmented,262144,0.100227,26274,2621440,17443,0.665398,6.250000
5,standard,262144,0.132977,34859,2621440,23086,0.880661,6.250000
6,segmented,262144,0.171120,44858,2621440,14403,0.549431,3.125000
6,standard,262144,0.265305,69548,2621440,22447,0.856285,3.125000
7,segmented,262144,0.171120,44858,2621440,7078,0.270004,1.562500
7,standard,262144,0.265568,69617,2621440,11110,0.423813,1.562500
8,segmented,262144,0.236023,61872,2621440,4872,0.185852,0.781250
8,standard,262144,0.425339,111500,2621440,8778,0.334854,0.781250
9,segmented,262144,0.236023,61872,2621440,2369,0.090370,0.390625
9,standard,262144,0.430264,112791,2621440,4385,0.167274,0.390625
10,segmented,262144,0.236023,61872,2621440,1199,0.045738,0.195312
10,standard,262144,0.511837,134175,2621440,2598,0.099106,0.195312
11,segmented,262144,0.236023,61872,2621440,598,0.022812,0.097656
11,standard,262144,0.513882,134711,2621440,1326,0.050583,0.097656
12,segmented,262144,0.481808,126303,2621440,615,0.023460,0.048828
12,standard,262144,0.512207,134272,2621440,668,0.025482,0.048828
13,segmented,262144,0.510067,133711,2621440,341,0.013008,0.024414
13,standard,262144,0.383835,100620,2621440,258,0.009842,0.024414
14,segmented,262144,0.509781,133636,2621440,171,0.006523,0.012207
14,standard,262144,0.507431,133020,2621440,174,0.006638,0.012207
15,segmented,262144,0.513931,134724,2621440,88,0.003357,0.006104
15,standard,262144,0.513966,134733,2621440,89,0.003395,0.006104
16,segmented,262144,0.506596,132801,2621440,47,0.001793,0.003052
16,standard,262144,0.516380,135366,2621440,51,0.001945,0.003052
17,segmented,262144,0.502106,131624,2621440,30,0.001144,0.001526
17,standard,262144,0.483978,126872,2621440,33,0.001259,0.001526
18,segmented,262144,0.502106,131624,2621440,19,0.000725,0.000763
18,standard,262144,0.511410,134063,2621440,17,0.000648,0.000763
19,segmented,262144,0.502106,131624,2621440,8,0.000305,0.000381
19,standard,262144,0.511410,134063,2621440,7,0.000267,0.000381
20,segmented,262144,0.502106,131624,2621440,4,0.000153,0.000191
20,standard,262144,0.511410,134063,2621440,4,0.000153,0.000191
21,segmented,262144,0.502106,131624,2621440,1,0.000038,0.000095
21,standard,262144,0.510899,133929,2621440,2,0.000076,0.000095
22,segmented,262144,0.502106,131624,2621440,1,0.000038,0.000048
22,standard,262144,0.510899,133929,2621440,2,0.000076,0.000048
23,segmented,262144,0.502106,131624,2621440,1,0.000038,0.000024
23,standard,262144,0.510899,133929,2621440,2,0.000076,0.000024
24,segmented,262144,0.502106,131624,2621440,0,0.000000,0.000012
24,standard,262144,0.510899,133929,2621440,0,0.000000,0.000012
25,segmented,262144,0.502106,131624,2621440,0,0.000000,0.000006
25,standard,262144,0.510899,133929,2621440,0,0.000000,0.000006
26,segmented,262144,0.502106,131624,2621440,0,0.000000,0.000003
26,standard,262144,0.510899,133929,2621440,0,0.000000,0.000003
27,segmented,262144,0.502106,131624,2621440,0,0.000000,0.000001
27,standard,262144,0.510899,133929,2621440,0,0.000000,0.000001
28,segmented,262144,0.502106,131624,2621440,0,0.000000,0.000001
28,standard,262144,0.510899,133929,2621440,0,0.000000,0.000001
29,segmented,262144,0.502106,131624,2621440,0,0.000000,0.000000
29,standard,262144,0.510899,133929,2621440,0,0.000000,0.000000
30,segmented,262144,0.502106,131624,2621440,0,0.000000,0.000000
30,standard,262144,0.510899,133929,2621440,0,0.000000,0.000000
31,segmented,262144,0.502106,131624,2621440,0,0.000000,0.000000
31,standard,262144,0.510899,133929,2621440,0,0.000000,0.000000
32,segmented,262144,0.502106,131624,2621440,0,0.000000,0.000000
32,standard,262144,0.510899,133929,2621440,0,0.000000,0.000000
