fingerprint_bits,scheme,num_buckets,load_factor,num_inserted,num_queries,false_positives,fpr_pct,theoretical_pct
4,segmented,262144,0.995532,782918,7864320,4382182,55.722326,75.000000
4,standard,262144,0.993265,781135,7864320,4377904,55.667928,75.000000
5,segmented,262144,0.995829,783152,7864320,2555456,32.494303,37.500000
5,standard,262144,0.995279,782719,7864320,2553149,32.464968,37.500000
6,segmented,262144,0.996213,783454,7864320,1374983,17.483813,18.750000
6,standard,262144,0.995214,782668,7864320,1374356,17.475840,18.750000
7,segmented,262144,0.996891,783987,7864320,711987,9.053383,9.375000
7,standard,262144,0.994799,782342,7864320,710669,9.036624,9.375000
8,segmented,262144,0.995389,782806,7864320,361290,4.594040,4.687500
8,standard,262144,0.994422,782045,7864320,361336,4.594625,4.687500
9,segmented,262144,0.995771,783106,7864320,182382,2.319107,2.343750
9,standard,262144,0.996370,783577,7864320,182209,2.316907,2.343750
10,segmented,262144,0.996919,784009,7864320,91783,1.167081,1.171875
10,standard,262144,0.995838,783159,7864320,91119,1.158638,1.171875
11,segmented,262144,0.995485,782881,7864320,45799,0.582364,0.585938
11,standard,262144,0.995336,782764,7864320,45935,0.584094,0.585938
12,segmented,262144,0.995799,783128,7864320,23150,0.294367,0.292969
12,standard,262144,0.993688,781468,7864320,23011,0.292600,0.292969
13,segmented,262144,0.996548,783717,7864320,11515,0.146421,0.146484
13,standard,262144,0.996435,783628,7864320,11467,0.145810,0.146484
14,segmented,262144,0.995481,782878,7864320,5717,0.072695,0.073242
14,standard,262144,0.994480,782091,7864320,5789,0.073611,0.073242
15,segmented,262144,0.995677,783032,7864320,2928,0.037231,0.036621
15,standard,262144,0.994977,782482,7864320,2881,0.036634,0.036621
16,segmented,262144,0.994848,782380,7864320,1433,0.018222,0.018311
16,standard,262144,0.996142,783398,7864320,1409,0.017916,0.018311
17,segmented,262144,0.995946,783244,7864320,710,0.009028,0.009155
17,standard,262144,0.995567,782946,7864320,719,0.009143,0.009155
18,segmented,262144,0.996165,783416,7864320,340,0.004323,0.004578
18,standard,262144,0.995799,783128,7864320,368,0.004679,0.004578
19,segmented,262144,0.996337,783551,7864320,161,0.002047,0.002289
19,standard,262144,0.994589,782177,7864320,175,0.002225,0.002289
20,segmented,262144,0.996110,783373,7864320,83,0.001055,0.001144
20,standard,262144,0.995193,782652,7864320,85,0.001081,0.001144
21,segmented,262144,0.996075,783345,7864320,45,0.000572,0.000572
21,standard,262144,0.995731,783075,7864320,42,0.000534,0.000572
22,segmented,262144,0.996407,783606,7864320,21,0.000267,0.000286
22,standard,262144,0.995122,782596,7864320,17,0.000216,0.000286
23,segmented,262144,0.996435,783628,7864320,13,0.000165,0.000143
23,standard,262144,0.995846,783165,7864320,8,0.000102,0.000143
24,segmented,262144,0.995162,782627,7864320,9,0.000114,0.000072
24,standard,262144,0.994652,782226,7864320,5,0.000064,0.000072
25,segmented,262144,0.996484,783667,7864320,2,0.000025,0.000036
25,standard,262144,0.994324,781968,7864320,3,0.000038,0.000036
26,segmented,262144,0.996070,783341,7864320,1,0.000013,0.000018
26,standard,262144,0.995429,782837,7864320,2,0.000025,0.000018
27,segmented,262144,0.995043,782534,7864320,1,0.000013,0.000009
27,standard,262144,0.995452,782855,7864320,0,0.000000,0.000009
28,segmented,262144,0.995871,783185,7864320,0,0.000000,0.000004
28,standard,262144,0.995639,783002,7864320,0,0.000000,0.000004
29,segmented,262144,0.995272,782714,7864320,0,0.000000,0.000002
29,standard,262144,0.995096,782575,7864320,0,0.000000,0.000002
30,segmented,262144,0.996521,783696,7864320,0,0.000000,0.000001
30,standard,262144,0.995182,782643,7864320,0,0.000000,0.000001
31,segmented,262144,0.995312,782745,7864320,0,0.000000,0.000001
31,standard,262144,0.995173,782636,7864320,0,0.000000,0.000001
32,segmented,262144,0.996407,783606,7864320,0,0.000000,0.000000
32,standard,262144,0.995190,782649,7864320,0,0.000000,0.000000
