fingerprint_bits,scheme,num_buckets,load_factor,num_inserted,num_queries,false_positives,fpr_pct,theoretical_pct
4,segmented,262144,0.952044,998290,10485760,4280353,40.820627,50.000000
4,standard,262144,0.948924,995019,10485760,4272208,40.742950,50.000000
5,segmented,262144,0.960867,1007542,10485760,2349746,22.408924,25.000000
5,standard,262144,0.953884,1000220,10485760,2333280,22.251892,25.000000
6,segmented,262144,0.958123,1004665,10485760,1216675,11.603117,12.500000
6,standard,262144,0.959676,1006293,10485760,1217263,11.608725,12.500000
7,segmented,262144,0.962507,1009262,10485760,620502,5.917568,6.250000
7,standard,262144,0.961441,1008144,10485760,619024,5.903473,6.250000
8,segmented,262144,0.964070,1010901,10485760,313466,2.989445,3.125000
8,standard,262144,0.959908,1006537,10485760,312235,2.977705,3.125000
9,segmented,262144,0.963995,1010822,10485760,157307,1.500196,1.562500
9,standard,262144,0.962290,1009034,10485760,156825,1.495600,1.562500
10,segmented,262144,0.963091,1009874,10485760,78642,0.749989,0.781250
10,standard,262144,0.962988,1009766,10485760,78389,0.747576,0.781250
11,segmented,262144,0.964464,1011314,10485760,39408,0.375824,0.390625
11,standard,262144,0.962832,1009603,10485760,39199,0.373831,0.390625
12,segmented,262144,0.963543,1010348,10485760,19776,0.188599,0.195312
12,standard,262144,0.959387,1005990,10485760,19675,0.187635,0.195312
13,segmented,262144,0.964027,1010856,10485760,9828,0.093727,0.097656
13,standard,262144,0.962532,1009288,10485760,9906,0.094471,0.097656
14,segmented,262144,0.962826,1009596,10485760,4981,0.047503,0.048828
14,standard,262144,0.961979,1008708,10485760,4898,0.046711,0.048828
15,segmented,262144,0.961728,1008445,10485760,2524,0.024071,0.024414
15,standard,262144,0.964519,1011371,10485760,2480,0.023651,0.024414
16,segmented,262144,0.962034,1008766,10485760,1268,0.012093,0.012207
16,standard,262144,0.961249,1007943,10485760,1225,0.011683,0.012207
17,segmented,262144,0.963906,1010729,10485760,613,0.005846,0.006104
17,standard,262144,0.964322,1011165,10485760,637,0.006075,0.006104
18,segmented,262144,0.963805,1010623,10485760,286,0.002728,0.003052
18,standard,262144,0.960002,1006635,10485760,302,0.002880,0.003052
19,segmented,262144,0.962263,1009006,10485760,138,0.001316,0.001526
19,standard,262144,0.960961,1007641,10485760,150,0.001431,0.001526
20,segmented,262144,0.958765,1005338,10485760,74,0.000706,0.000763
20,standard,262144,0.960346,1006996,10485760,80,0.000763,0.000763
21,segmented,262144,0.963234,1010024,10485760,37,0.000353,0.000381
21,standard,262144,0.957102,1003594,10485760,40,0.000381,0.000381
22,segmented,262144,0.962255,1008997,10485760,21,0.000200,0.000191
22,standard,262144,0.962226,1008967,10485760,22,0.000210,0.000191
23,segmented,262144,0.962437,1009188,10485760,11,0.000105,0.000095
23,standard,262144,0.957370,1003875,10485760,11,0.000105,0.000095
24,segmented,262144,0.965666,1012574,10485760,7,0.000067,0.000048
24,standard,262144,0.962549,1009306,10485760,7,0.000067,0.000048
25,segmented,262144,0.959372,1005974,10485760,3,0.000029,0.000024
25,standard,262144,0.961881,1008605,10485760,3,0.000029,0.000024
26,segmented,262144,0.964514,1011366,10485760,0,0.000000,0.000012
26,standard,262144,0.961837,1008559,10485760,1,0.000010,0.000012
27,segmented,262144,0.964298,1011140,10485760,0,0.000000,0.000006
27,standard,262144,0.957743,1004266,10485760,0,0.000000,0.000006
28,segmented,262144,0.964016,1010844,10485760,0,0.000000,0.000003
28,standard,262144,0.961272,1007967,10485760,0,0.000000,0.000003
29,segmented,262144,0.962222,1008963,10485760,0,0.000000,0.000001
29,standard,262144,0.960941,1007620,10485760,0,0.000000,0.000001
30,segmented,262144,0.963808,1010626,10485760,0,0.000000,0.000001
30,standard,262144,0.960685,1007351,10485760,0,0.000000,0.000001
31,segmented,262144,0.966704,1013663,10485760,0,0.000000,0.000000
31,standard,262144,0.960635,1007299,10485760,0,0.000000,0.000000
32,segmented,262144,0.962057,1008790,10485760,0,0.000000,0.000000
32,standard,262144,0.958931,1005512,10485760,0,0.000000,0.000000
