fingerprint_bits,scheme,num_buckets,load_factor,num_inserted,num_queries,false_positives,fpr_pct,theoretical_pct
2,segmented,196608,0.107234,21083,1966080,222426,11.313171,75.000000
2,standard,177147,0.055112,9763,1771470,106253,5.998013,75.000000
3,segmented,196608,0.128133,25192,1966080,114677,5.832774,37.500000
3,standard,177147,0.175521,31093,1771470,138860,7.838688,37.500000
4,segmented,196608,0.295939,58184,1966080,118750,6.039937,18.750000
4,standard,177147,0.332391,58882,1771470,118952,6.714875,18.750000
5,segmented,196608,0.591548,116303,1966080,112737,5.734100,9.375000
5,standard,177147,0.689540,122150,1771470,117255,6.619079,9.375000
6,segmented,196608,0.758942,149214,1966080,70854,3.603821,4.687500
6,standard,177147,0.889182,157516,1771470,74669,4.215087,4.687500
7,segmented,196608,0.890625,175104,1966080,41407,2.106069,2.343750
7,standard,177147,0.894692,158492,1771470,37316,2.106499,2.343750
8,segmented,196608,0.898758,176703,1966080,20939,1.065013,1.171875
8,standard,177147,0.887207,157166,1771470,18587,1.049242,1.171875
9,segmented,196608,0.897018,176361,1966080,10372,0.527547,0.585938
9,standard,177147,0.894669,158488,1771470,9408,0.531084,0.585938
10,segmented,196608,0.900009,176949,1966080,5201,0.264537,0.292969
10,standard,177147,0.894111,158389,1771470,4819,0.272034,0.292969
11,segmented,196608,0.898870,176725,1966080,2602,0.132345,0.146484
11,standard,177147,0.896273,158772,1771470,2358,0.133110,0.146484
12,segmented,196608,0.894602,175886,1966080,1294,0.065816,0.073242
12,standard,177147,0.896679,158844,1771470,1152,0.065031,0.073242
13,segmented,196608,0.896332,176226,1966080,645,0.032806,0.036621
13,standard,177147,0.899321,159312,1771470,586,0.033080,0.036621
14,segmented,196608,0.895905,176142,1966080,325,0.016530,0.018311
14,standard,177147,0.893190,158226,1771470,284,0.016032,0.018311
15,segmented,196608,0.898687,176689,1966080,167,0.008494,0.009155
15,standard,177147,0.893907,158353,1771470,155,0.008750,0.009155
16,segmented,196608,0.898473,176647,1966080,74,0.003764,0.004578
16,standard,177147,0.895375,158613,1771470,83,0.004685,0.004578
17,segmented,196608,0.893509,175671,1966080,41,0.002085,0.002289
17,standard,177147,0.896815,158868,1771470,32,0.001806,0.002289
18,segmented,196608,0.893570,175683,1966080,27,0.001373,0.001144
18,standard,177147,0.896758,158858,1771470,12,0.000677,0.001144
19,segmented,196608,0.888947,174774,1966080,9,0.000458,0.000572
19,standard,177147,0.896323,158781,1771470,5,0.000282,0.000572
20,segmented,196608,0.891825,175340,1966080,4,0.000203,0.000286
20,standard,177147,0.898299,159131,1771470,5,0.000282,0.000286
21,segmented,196608,0.898036,176561,1966080,2,0.000102,0.000143
21,standard,177147,0.896216,158762,1771470,2,0.000113,0.000143
22,segmented,196608,0.897339,176424,1966080,1,0.000051,0.000072
22,standard,177147,0.893478,158277,1771470,1,0.000056,0.000072
23,segmented,196608,0.899989,176945,1966080,1,0.000051,0.000036
23,standard,177147,0.895522,158639,1771470,1,0.000056,0.000036
24,segmented,196608,0.898041,176562,1966080,0,0.000000,0.000018
24,standard,177147,0.895352,158609,1771470,0,0.000000,0.000018
25,segmented,196608,0.898071,176568,1966080,0,0.000000,0.000009
25,standard,177147,0.888161,157335,1771470,0,0.000000,0.000009
26,segmented,196608,0.893117,175594,1966080,0,0.000000,0.000004
26,standard,177147,0.895861,158699,1771470,0,0.000000,0.000004
27,segmented,196608,0.887731,174535,1966080,0,0.000000,0.000002
27,standard,177147,0.899389,159324,1771470,0,0.000000,0.000002
28,segmented,196608,0.897095,176376,1966080,0,0.000000,0.000001
28,standard,177147,0.896589,158828,1771470,0,0.000000,0.000001
29,segmented,196608,0.899241,176798,1966080,0,0.000000,0.000001
29,standard,177147,0.900444,159511,1771470,0,0.000000,0.000001
30,segmented,196608,0.897914,176537,1966080,0,0.000000,0.000000
30,standard,177147,0.897311,158956,1771470,0,0.000000,0.000000
31,segmented,196608,0.896027,176166,1966080,0,0.000000,0.000000
31,standard,177147,0.895403,158618,1771470,0,0.000000,0.000000
32,segmented,196608,0.900131,176973,1966080,0,0.000000,0.000000
32,standard,177147,0.888195,157341,1771470,0,0.000000,0.000000
