fingerprint_bits,scheme,num_buckets,load_factor,num_inserted,num_queries,false_positives,fpr_pct,theoretical_pct
3,segmented,196608,0.308640,121362,3932160,974126,24.773305,75.000000
3,standard,177147,0.509475,180504,3542940,1316716,37.164502,75.000000
4,segmented,196608,0.647250,254509,3932160,929986,23.650767,37.500000
4,standard,177147,0.916061,324555,3542940,1121813,31.663336,37.500000
5,segmented,196608,0.973806,382916,3932160,690260,17.554220,18.750000
5,standard,177147,0.970908,343987,3542940,619052,17.472833,18.750000
6,segmented,196608,0.973913,382958,3932160,353387,8.987096,9.375000
6,standard,177147,0.971941,344353,3542940,316674,8.938170,9.375000
7,segmented,196608,0.975423,383552,3932160,178531,4.540278,4.687500
7,standard,177147,0.972616,344592,3542940,159735,4.508544,4.687500
8,segmented,196608,0.974805,383309,3932160,89740,2.282206,2.343750
8,standard,177147,0.969802,343595,3542940,80278,2.265858,2.343750
9,segmented,196608,0.970863,381759,3932160,44943,1.142960,1.171875
9,standard,177147,0.975540,345628,3542940,40491,1.142864,1.171875
10,segmented,196608,0.974236,383085,3932160,22621,0.575282,0.585938
10,standard,177147,0.974713,345335,3542940,20221,0.570741,0.585938
11,segmented,196608,0.977445,384347,3932160,11325,0.288010,0.292969
11,standard,177147,0.973068,344752,3542940,10009,0.282505,0.292969
12,segmented,196608,0.975283,383497,3932160,5690,0.144704,0.146484
12,standard,177147,0.972455,344535,3542940,5005,0.141267,0.146484
13,segmented,196608,0.977725,384457,3932160,2852,0.072530,0.073242
13,standard,177147,0.973025,344737,3542940,2478,0.069942,0.073242
14,segmented,196608,0.976723,384063,3932160,1415,0.035985,0.036621
14,standard,177147,0.971524,344205,3542940,1227,0.034632,0.036621
15,segmented,196608,0.976702,384055,3932160,698,0.017751,0.018311
15,standard,177147,0.975549,345631,3542940,636,0.017951,0.018311
16,segmented,196608,0.973089,382634,3932160,322,0.008189,0.009155
16,standard,177147,0.974750,345348,3542940,321,0.009060,0.009155
17,segmented,196608,0.974869,383334,3932160,163,0.004145,0.004578
17,standard,177147,0.972904,344694,3542940,157,0.004431,0.004578
18,segmented,196608,0.976397,383935,3932160,83,0.002111,0.002289
18,standard,177147,0.972847,344674,3542940,72,0.002032,0.002289
19,segmented,196608,0.976140,383834,3932160,38,0.000966,0.001144
19,standard,177147,0.973068,344752,3542940,35,0.000988,0.001144
20,segmented,196608,0.974019,383000,3932160,20,0.000509,0.000572
20,standard,177147,0.975554,345633,3542940,15,0.000423,0.000572
21,segmented,196608,0.975527,383593,3932160,9,0.000229,0.000286
21,standard,177147,0.972224,344453,3542940,6,0.000169,0.000286
22,segmented,196608,0.976794,384091,3932160,4,0.000102,0.000143
22,standard,177147,0.974888,345397,3542940,2,0.000056,0.000143
23,segmented,196608,0.976967,384159,3932160,2,0.000051,0.000072
23,standard,177147,0.973914,345052,3542940,2,0.000056,0.000072
24,segmented,196608,0.974932,383359,3932160,1,0.000025,0.000036
24,standard,177147,0.972980,344721,3542940,1,0.000028,0.000036
25,segmented,196608,0.974909,383350,3932160,0,0.000000,0.000018
25,standard,177147,0.970059,343686,3542940,0,0.000000,0.000018
26,segmented,196608,0.977562,384393,3932160,0,0.000000,0.000009
26,standard,177147,0.974180,345146,3542940,0,0.000000,0.000009
27,segmented,196608,0.977074,384201,3932160,0,0.000000,0.000004
27,standard,177147,0.972777,344649,3542940,0,0.000000,0.000004
28,segmented,196608,0.975693,383658,3932160,0,0.000000,0.000002
28,standard,177147,0.973790,345008,3542940,0,0.000000,0.000002
29,segmented,196608,0.973852,382934,3932160,0,0.000000,0.000001
29,standard,177147,0.976511,345972,3542940,0,0.000000,0.000001
30,segmented,196608,0.975349,383523,3932160,0,0.000000,0.000001
30,standard,177147,0.973068,344752,3542940,0,0.000000,0.000001
31,segmented,196608,0.974154,383053,3932160,0,0.000000,0.000000
31,standard,177147,0.969012,343315,3542940,0,0.000000,0.000000
32,segmented,196608,0.973356,382739,3932160,0,0.000000,0.000000
32,standard,177147,0.976370,345922,3542940,0,0.000000,0.000000
