fingerprint_bits,scheme,num_buckets,load_factor,num_inserted,num_queries,false_positives,fpr_pct,theoretical_pct
4,segmented,196608,0.992844,780804,7864320,4374787,55.628293,75.000000
4,standard,177147,0.982901,696472,7085880,3914427,55.242637,75.000000
5,segmented,196608,0.991884,780049,7864320,2547151,32.388700,37.500000
5,standard,177147,0.992518,703286,7085880,2293232,32.363404,37.500000
6,segmented,196608,0.993819,781571,7864320,1371871,17.444242,18.750000
6,standard,177147,0.991778,702762,7085880,1232374,17.391968,18.750000
7,segmented,196608,0.993838,781586,7864320,709792,9.025472,9.375000
7,standard,177147,0.991571,702615,7085880,637245,8.993167,9.375000
8,segmented,196608,0.993856,781600,7864320,360715,4.586728,4.687500
8,standard,177147,0.993747,704157,7085880,324720,4.582635,4.687500
9,segmented,196608,0.993893,781629,7864320,182040,2.314758,2.343750
9,standard,177147,0.991538,702592,7085880,163162,2.302636,2.343750
10,segmented,196608,0.993183,781071,7864320,91432,1.162618,1.171875
10,standard,177147,0.993265,703816,7085880,82079,1.158346,1.171875
11,segmented,196608,0.994200,781871,7864320,45747,0.581703,0.585938
11,standard,177147,0.992621,703359,7085880,40762,0.575257,0.585938
12,segmented,196608,0.993076,780987,7864320,23098,0.293706,0.292969
12,standard,177147,0.990216,701655,7085880,20295,0.286415,0.292969
13,segmented,196608,0.993855,781599,7864320,11490,0.146103,0.146484
13,standard,177147,0.991830,702799,7085880,10195,0.143878,0.146484
14,segmented,196608,0.993423,781260,7864320,5705,0.072543,0.073242
14,standard,177147,0.992357,703172,7085880,5037,0.071085,0.073242
15,segmented,196608,0.993413,781252,7864320,2923,0.037168,0.036621
15,standard,177147,0.993234,703794,7085880,2497,0.035239,0.036621
16,segmented,196608,0.994097,781790,7864320,1433,0.018222,0.018311
16,standard,177147,0.993409,703918,7085880,1208,0.017048,0.018311
17,segmented,196608,0.992728,780713,7864320,709,0.009015,0.009155
17,standard,177147,0.993057,703668,7085880,619,0.008736,0.009155
18,segmented,196608,0.994347,781986,7864320,339,0.004311,0.004578
18,standard,177147,0.993009,703634,7085880,325,0.004587,0.004578
19,segmented,196608,0.992944,780883,7864320,161,0.002047,0.002289
19,standard,177147,0.993123,703715,7085880,155,0.002187,0.002289
20,segmented,196608,0.993847,781593,7864320,83,0.001055,0.001144
20,standard,177147,0.994231,704500,7085880,81,0.001143,0.001144
21,segmented,196608,0.994013,781724,7864320,45,0.000572,0.000572
21,standard,177147,0.992359,703174,7085880,32,0.000452,0.000572
22,segmented,196608,0.994255,781914,7864320,21,0.000267,0.000286
22,standard,177147,0.993246,703802,7085880,14,0.000198,0.000286
23,segmented,196608,0.994087,781782,7864320,13,0.000165,0.000143
23,standard,177147,0.992752,703452,7085880,9,0.000127,0.000143
24,segmented,196608,0.993387,781231,7864320,9,0.000114,0.000072
24,standard,177147,0.991621,702651,7085880,7,0.000099,0.000072
25,segmented,196608,0.993538,781350,7864320,2,0.000025,0.000036
25,standard,177147,0.992653,703382,7085880,4,0.000056,0.000036
26,segmented,196608,0.993735,781505,7864320,1,0.000013,0.000018
26,standard,177147,0.993521,703997,7085880,3,0.000042,0.000018
27,segmented,196608,0.993113,781016,7864320,1,0.000013,0.000009
27,standard,177147,0.993237,703796,7085880,3,0.000042,0.000009
28,segmented,196608,0.992462,780504,7864320,0,0.000000,0.000004
28,standard,177147,0.992056,702959,7085880,1,0.000014,0.000004
29,segmented,196608,0.993740,781509,7864320,0,0.000000,0.000002
29,standard,177147,0.994100,704407,7085880,1,0.000014,0.000002
30,segmented,196608,0.993548,781358,7864320,0,0.000000,0.000001
30,standard,177147,0.993171,703749,7085880,1,0.000014,0.000001
31,segmented,196608,0.993937,781664,7864320,0,0.000000,0.000001
31,standard,177147,0.992052,702956,7085880,0,0.000000,0.000001
32,segmented,196608,0.994408,782034,7864320,0,0.000000,0.000000
32,standard,177147,0.993407,703916,7085880,0,0.000000,0.000000
