fingerprint_bits,scheme,num_buckets,load_factor,num_inserted,num_queries,false_positives,fpr_pct,theoretical_pct
3,segmented,262144,0.323625,254509,7864320,2026433,25.767428,75.000000
3,standard,262144,0.364466,286628,7864320,2235549,28.426476,75.000000
4,segmented,262144,0.550116,432629,7864320,1616032,20.548910,37.500000
4,standard,262144,0.913212,718179,7864320,2482843,31.570981,37.500000
5,segmented,262144,0.933528,734156,7864320,1329756,16.908722,18.750000
5,standard,262144,0.930739,731963,7864320,1325019,16.848488,18.750000
6,segmented,262144,0.932588,733417,7864320,678065,8.622042,9.375000
6,standard,262144,0.934814,735168,7864320,678402,8.626328,9.375000
7,segmented,262144,0.939503,738855,7864320,344106,4.375534,4.687500
7,standard,262144,0.933145,733855,7864320,341044,4.336599,4.687500
8,segmented,262144,0.937035,736914,7864320,172107,2.188454,2.343750
8,standard,262144,0.929832,731250,7864320,170828,2.172190,2.343750
9,segmented,262144,0.937405,737205,7864320,86440,1.099141,1.171875
9,standard,262144,0.931072,732225,7864320,85512,1.087341,1.171875
10,segmented,262144,0.934622,735017,7864320,43020,0.547028,0.585938
10,standard,262144,0.935594,735781,7864320,42921,0.545769,0.585938
11,segmented,262144,0.937880,737579,7864320,21639,0.275154,0.292969
11,standard,262144,0.936003,736103,7864320,21533,0.273806,0.292969
12,segmented,262144,0.935132,735418,7864320,10803,0.137367,0.146484
12,standard,262144,0.937562,737329,7864320,10837,0.137800,0.146484
13,segmented,262144,0.938688,738214,7864320,5361,0.068169,0.073242
13,standard,262144,0.928020,729825,7864320,5417,0.068881,0.073242
14,segmented,262144,0.938254,737873,7864320,2705,0.034396,0.036621
14,standard,262144,0.936579,736556,7864320,2694,0.034256,0.036621
15,segmented,262144,0.937693,737432,7864320,1404,0.017853,0.018311
15,standard,262144,0.936498,736492,7864320,1356,0.017242,0.018311
16,segmented,262144,0.937267,737097,7864320,693,0.008812,0.009155
16,standard,262144,0.937651,737399,7864320,670,0.008519,0.009155
17,segmented,262144,0.937608,737365,7864320,329,0.004183,0.004578
17,standard,262144,0.934949,735274,7864320,340,0.004323,0.004578
18,segmented,262144,0.937382,737187,7864320,149,0.001895,0.002289
18,standard,262144,0.932371,733246,7864320,154,0.001958,0.002289
19,segmented,262144,0.934545,734956,7864320,68,0.000865,0.001144
19,standard,262144,0.936570,736549,7864320,79,0.001005,0.001144
20,segmented,262144,0.937614,737370,7864320,36,0.000458,0.000572
20,standard,262144,0.936562,736542,7864320,39,0.000496,0.000572
21,segmented,262144,0.935265,735522,7864320,17,0.000216,0.000286
21,standard,262144,0.932513,733358,7864320,23,0.000292,0.000286
22,segmented,262144,0.939758,739056,7864320,9,0.000114,0.000143
22,standard,262144,0.930555,731818,7864320,12,0.000153,0.000143
23,segmented,262144,0.938183,737817,7864320,6,0.000076,0.000072
23,standard,262144,0.938235,737858,7864320,6,0.000076,0.000072
24,segmented,262144,0.934930,735259,7864320,4,0.000051,0.000036
24,standard,262144,0.933053,733783,7864320,3,0.000038,0.000036
25,segmented,262144,0.934439,734873,7864320,1,0.000013,0.000018
25,standard,262144,0.935814,735954,7864320,1,0.000013,0.000018
26,segmented,262144,0.935680,735849,7864320,0,0.000000,0.000009
26,standard,262144,0.938352,737950,7864320,1,0.000013,0.000009
27,segmented,262144,0.936029,736123,7864320,0,0.000000,0.000004
27,standard,262144,0.937972,737651,7864320,0,0.000000,0.000004
28,segmented,262144,0.938104,737755,7864320,0,0.000000,0.000002
28,standard,262144,0.938028,737695,7864320,0,0.000000,0.000002
29,segmented,262144,0.934464,734892,7864320,0,0.000000,0.000001
29,standard,262144,0.937113,736976,7864320,0,0.000000,0.000001
30,segmented,262144,0.933832,734395,7864320,0,0.000000,0.000001
30,standard,262144,0.936125,736199,7864320,0,0.000000,0.000001
31,segmented,262144,0.937417,737215,7864320,0,0.000000,0.000000
31,standard,262144,0.935452,735669,7864320,0,0.000000,0.000000
32,segmented,262144,0.939236,738645,7864320,0,0.000000,0.000000
32,standard,262144,0.937220,737060,7864320,0,0.000000,0.000000
