fingerprint_bits,scheme,num_buckets,load_factor,num_inserted,num_queries,false_positives,fpr_pct,theoretical_pct
4,segmented,262144,0.967585,507293,5242880,2163801,41.271229,50.000000
4,standard,262144,0.986839,517388,5242880,2196695,41.898632,50.000000
5,segmented,262144,0.991337,519746,5242880,1205965,23.001957,25.000000
5,standard,262144,0.990049,519071,5242880,1204230,22.968864,25.000000
6,segmented,262144,0.990232,519167,5242880,627699,11.972408,12.500000
6,standard,262144,0.989693,518884,5242880,626910,11.957359,12.500000
7,segmented,262144,0.991156,519651,5242880,319758,6.098900,6.250000
7,standard,262144,0.991268,519710,5242880,319689,6.097584,6.250000
8,segmented,262144,0.990496,519305,5242880,161472,3.079834,3.125000
8,standard,262144,0.992266,520233,5242880,161365,3.077793,3.125000
9,segmented,262144,0.991995,520091,5242880,81475,1.554012,1.562500
9,standard,262144,0.989969,519029,5242880,80609,1.537495,1.562500
10,segmented,262144,0.992575,520395,5242880,40862,0.779381,0.781250
10,standard,262144,0.987314,517637,5242880,40211,0.766964,0.781250
11,segmented,262144,0.991697,519935,5242880,20338,0.387917,0.390625
11,standard,262144,0.990671,519397,5242880,20384,0.388794,0.390625
12,segmented,262144,0.990988,519563,5242880,10199,0.194530,0.195312
12,standard,262144,0.990732,519429,5242880,10360,0.197601,0.195312
13,segmented,262144,0.991846,520013,5242880,5117,0.097599,0.097656
13,standard,262144,0.990469,519291,5242880,5158,0.098381,0.097656
14,segmented,262144,0.990461,519287,5242880,2544,0.048523,0.048828
14,standard,262144,0.990967,519552,5242880,2590,0.049400,0.048828
15,segmented,262144,0.991980,520083,5242880,1315,0.025082,0.024414
15,standard,262144,0.989508,518787,5242880,1257,0.023975,0.024414
16,segmented,262144,0.989632,518852,5242880,639,0.012188,0.012207
16,standard,262144,0.989691,518883,5242880,604,0.011520,0.012207
17,segmented,262144,0.992323,520263,5242880,322,0.006142,0.006104
17,standard,262144,0.989075,518560,5242880,308,0.005875,0.006104
18,segmented,262144,0.990871,519502,5242880,155,0.002956,0.003052
18,standard,262144,0.989738,518908,5242880,165,0.003147,0.003052
19,segmented,262144,0.991379,519768,5242880,71,0.001354,0.001526
19,standard,262144,0.991661,519916,5242880,80,0.001526,0.001526
20,segmented,262144,0.991753,519964,5242880,40,0.000763,0.000763
20,standard,262144,0.987110,517530,5242880,38,0.000725,0.000763
21,segmented,262144,0.992315,520259,5242880,21,0.000401,0.000381
21,standard,262144,0.990139,519118,5242880,22,0.000420,0.000381
22,segmented,262144,0.991711,519942,5242880,7,0.000134,0.000191
22,standard,262144,0.990677,519400,5242880,10,0.000191,0.000191
23,segmented,262144,0.992321,520262,5242880,4,0.000076,0.000095
23,standard,262144,0.991266,519709,5242880,5,0.000095,0.000095
24,segmented,262144,0.991728,519951,5242880,2,0.000038,0.000048
24,standard,262144,0.990566,519342,5242880,1,0.000019,0.000048
25,segmented,262144,0.991505,519834,5242880,0,0.000000,0.000024
25,standard,262144,0.990625,519373,5242880,0,0.000000,0.000024
26,segmented,262144,0.992174,520185,5242880,0,0.000000,0.000012
26,standard,262144,0.991859,520020,5242880,0,0.000000,0.000012
27,segmented,262144,0.991245,519698,5242880,0,0.000000,0.000006
27,standard,262144,0.990389,519249,5242880,0,0.000000,0.000006
28,segmented,262144,0.990551,519334,5242880,0,0.000000,0.000003
28,standard,262144,0.990398,519254,5242880,0,0.000000,0.000003
29,segmented,262144,0.991285,519719,5242880,0,0.000000,0.000001
29,standard,262144,0.989237,518645,5242880,0,0.000000,0.000001
30,segmented,262144,0.992945,520589,5242880,0,0.000000,0.000001
30,standard,262144,0.988939,518489,5242880,0,0.000000,0.000001
31,segmented,262144,0.991215,519682,5242880,0,0.000000,0.000000
31,standard,262144,0.990511,519313,5242880,0,0.000000,0.000000
32,segmented,262144,0.990473,519293,5242880,0,0.000000,0.000000
32,standard,262144,0.991209,519679,5242880,0,0.000000,0.000000
