fingerprint_bits,scheme,num_buckets,load_factor,num_inserted,num_queries,false_positives,fpr_pct,theoretical_pct
4,segmented,196608,0.986581,581909,5898240,2689701,45.601756,56.250000
4,standard,177147,0.977770,519627,5314410,2410083,45.349964,56.250000
5,segmented,196608,0.987196,582272,5898240,1496698,25.375332,28.125000
5,standard,177147,0.988202,525171,5314410,1346978,25.345767,28.125000
6,segmented,196608,0.988686,583151,5898240,786305,13.331180,14.062500
6,standard,177147,0.987831,524974,5314410,706166,13.287759,14.062500
7,segmented,196608,0.989527,583647,5898240,402345,6.821442,7.031250
7,standard,177147,0.988622,525394,5314410,361159,6.795844,7.031250
8,segmented,196608,0.988715,583168,5898240,203265,3.446198,3.515625
8,standard,177147,0.987630,524867,5314410,182510,3.434248,3.515625
9,segmented,196608,0.989275,583498,5898240,102593,1.739383,1.757812
9,standard,177147,0.986860,524458,5314410,91577,1.723183,1.757812
10,segmented,196608,0.990453,584193,5898240,51444,0.872192,0.878906
10,standard,177147,0.990279,526275,5314410,46141,0.868224,0.878906
11,segmented,196608,0.988188,582857,5898240,25604,0.434096,0.439453
11,standard,177147,0.989361,525787,5314410,22969,0.432202,0.439453
12,segmented,196608,0.988563,583078,5898240,12874,0.218269,0.219727
12,standard,177147,0.988879,525531,5314410,11387,0.214266,0.219727
13,segmented,196608,0.988120,582817,5898240,6411,0.108693,0.109863
13,standard,177147,0.989758,525998,5314410,5687,0.107011,0.109863
14,segmented,196608,0.989953,583898,5898240,3200,0.054253,0.054932
14,standard,177147,0.987865,524992,5314410,2798,0.052649,0.054932
15,segmented,196608,0.989321,583525,5898240,1643,0.027856,0.027466
15,standard,177147,0.989359,525786,5314410,1389,0.026136,0.027466
16,segmented,196608,0.991023,584529,5898240,804,0.013631,0.013733
16,standard,177147,0.989222,525713,5314410,686,0.012908,0.013733
17,segmented,196608,0.988858,583252,5898240,404,0.006850,0.006866
17,standard,177147,0.987528,524813,5314410,355,0.006680,0.006866
18,segmented,196608,0.987562,582488,5898240,195,0.003306,0.003433
18,standard,177147,0.988307,525227,5314410,189,0.003556,0.003433
19,segmented,196608,0.989946,583894,5898240,89,0.001509,0.001717
19,standard,177147,0.988529,525345,5314410,88,0.001656,0.001717
20,segmented,196608,0.988349,582952,5898240,52,0.000882,0.000858
20,standard,177147,0.987984,525055,5314410,40,0.000753,0.000858
21,segmented,196608,0.989477,583617,5898240,27,0.000458,0.000429
21,standard,177147,0.985652,523816,5314410,13,0.000245,0.000429
22,segmented,196608,0.988071,582788,5898240,10,0.000170,0.000215
22,standard,177147,0.987063,524566,5314410,8,0.000151,0.000215
23,segmented,196608,0.988825,583233,5898240,5,0.000085,0.000107
23,standard,177147,0.988354,525252,5314410,6,0.000113,0.000107
24,segmented,196608,0.989807,583812,5898240,3,0.000051,0.000054
24,standard,177147,0.989376,525795,5314410,4,0.000075,0.000054
25,segmented,196608,0.987481,582440,5898240,0,0.000000,0.000027
25,standard,177147,0.988448,525302,5314410,2,0.000038,0.000027
26,segmented,196608,0.988278,582910,5898240,0,0.000000,0.000013
26,standard,177147,0.988526,525343,5314410,1,0.000019,0.000013
27,segmented,196608,0.989651,583720,5898240,0,0.000000,0.000007
27,standard,177147,0.988339,525244,5314410,2,0.000038,0.000007
28,segmented,196608,0.987569,582492,5898240,0,0.000000,0.000003
28,standard,177147,0.989564,525895,5314410,0,0.000000,0.000003
29,segmented,196608,0.989626,583705,5898240,0,0.000000,0.000002
29,standard,177147,0.988900,525542,5314410,0,0.000000,0.000002
30,segmented,196608,0.989254,583486,5898240,0,0.000000,0.000001
30,standard,177147,0.989226,525715,5314410,0,0.000000,0.000001
31,segmented,196608,0.988842,583243,5898240,0,0.000000,0.000000
31,standard,177147,0.987792,524953,5314410,0,0.000000,0.000000
32,segmented,196608,0.989275,583498,5898240,0,0.000000,0.000000
32,standard,177147,0.988106,525120,5314410,0,0.000000,0.000000
