fingerprint_bits,scheme,num_buckets,load_factor,num_inserted,num_queries,false_positives,fpr_pct,theoretical_pct
3,segmented,262144,0.252739,66254,2621440,380599,14.518700,50.000000
3,standard,262144,0.169071,44321,2621440,261190,9.963608,50.000000
4,segmented,262144,0.462959,121362,2621440,318301,12.142220,25.000000
4,standard,262144,0.609226,159705,2621440,410836,15.672150,25.000000
5,segmented,262144,0.569206,149214,2621440,190157,7.253914,12.500000
5,standard,262144,0.956188,250659,2621440,311461,11.881294,12.500000
6,segmented,262144,0.958477,251259,2621440,157126,5.993881,6.250000
6,standard,262144,0.958031,251142,2621440,156832,5.982666,6.250000
7,segmented,262144,0.957317,250955,2621440,78622,2.999191,3.125000
7,standard,262144,0.955082,250369,2621440,78247,2.984886,3.125000
8,segmented,262144,0.961803,252131,2621440,39672,1.513367,1.562500
8,standard,262144,0.959198,251448,2621440,39218,1.496048,1.562500
9,segmented,262144,0.962017,252187,2621440,19777,0.754433,0.781250
9,standard,262144,0.962547,252326,2621440,19608,0.747986,0.781250
10,segmented,262144,0.961449,252038,2621440,9899,0.377617,0.390625
10,standard,262144,0.958485,251261,2621440,9724,0.370941,0.390625
11,segmented,262144,0.962994,252443,2621440,4946,0.188675,0.195312
11,standard,262144,0.961830,252138,2621440,4864,0.185547,0.195312
12,segmented,262144,0.961456,252040,2621440,2492,0.095062,0.097656
12,standard,262144,0.962246,252247,2621440,2553,0.097389,0.097656
13,segmented,262144,0.960140,251695,2621440,1248,0.047607,0.048828
13,standard,262144,0.959942,251643,2621440,1311,0.050011,0.048828
14,segmented,262144,0.964321,252791,2621440,627,0.023918,0.024414
14,standard,262144,0.959126,251429,2621440,666,0.025406,0.024414
15,segmented,262144,0.957382,250972,2621440,311,0.011864,0.012207
15,standard,262144,0.956486,250737,2621440,316,0.012054,0.012207
16,segmented,262144,0.960236,251720,2621440,142,0.005417,0.006104
16,standard,262144,0.955910,250586,2621440,146,0.005569,0.006104
17,segmented,262144,0.961617,252082,2621440,72,0.002747,0.003052
17,standard,262144,0.962624,252346,2621440,80,0.003052,0.003052
18,segmented,262144,0.961098,251946,2621440,45,0.001717,0.001526
18,standard,262144,0.959026,251403,2621440,40,0.001526,0.001526
19,segmented,262144,0.963806,252656,2621440,19,0.000725,0.000763
19,standard,262144,0.959629,251561,2621440,22,0.000839,0.000763
20,segmented,262144,0.961445,252037,2621440,9,0.000343,0.000381
20,standard,262144,0.962486,252310,2621440,12,0.000458,0.000381
21,segmented,262144,0.962093,252207,2621440,4,0.000153,0.000191
21,standard,262144,0.961407,252027,2621440,7,0.000267,0.000191
22,segmented,262144,0.961777,252124,2621440,2,0.000076,0.000095
22,standard,262144,0.962143,252220,2621440,4,0.000153,0.000095
23,segmented,262144,0.959694,251578,2621440,1,0.000038,0.000048
23,standard,262144,0.957951,251121,2621440,3,0.000114,0.000048
24,segmented,262144,0.962082,252204,2621440,0,0.000000,0.000024
24,standard,262144,0.961903,252157,2621440,0,0.000000,0.000024
25,segmented,262144,0.961792,252128,2621440,0,0.000000,0.000012
25,standard,262144,0.960609,251818,2621440,0,0.000000,0.000012
26,segmented,262144,0.961353,252013,2621440,0,0.000000,0.000006
26,standard,262144,0.961605,252079,2621440,0,0.000000,0.000006
27,segmented,262144,0.958824,251350,2621440,0,0.000000,0.000003
27,standard,262144,0.962040,252193,2621440,0,0.000000,0.000003
28,segmented,262144,0.961018,251925,2621440,0,0.000000,0.000001
28,standard,262144,0.959419,251506,2621440,0,0.000000,0.000001
29,segmented,262144,0.961777,252124,2621440,0,0.000000,0.000001
29,standard,262144,0.960934,251903,2621440,0,0.000000,0.000001
30,segmented,262144,0.960629,251823,2621440,0,0.000000,0.000000
30,standard,262144,0.951500,249430,2621440,0,0.000000,0.000000
31,segmented,262144,0.961536,252061,2621440,0,0.000000,0.000000
31,standard,262144,0.960060,251674,2621440,0,0.000000,0.000000
32,segmented,262144,0.962242,252246,2621440,0,0.000000,0.000000
32,standard,262144,0.958138,251170,2621440,0,0.000000,0.000000
