fingerprint_bits,scheme,num_buckets,load_factor,num_inserted,num_queries,false_positives,fpr_pct,theoretical_pct
3,segmented,262144,0.208675,109406,5242880,636450,12.139320,50.000000
3,standard,262144,0.198458,104049,5242880,608112,11.598816,50.000000
4,segmented,262144,0.446404,234044,5242880,616012,11.749496,25.000000
4,standard,262144,0.444704,233153,5242880,613994,11.711006,25.000000
5,segmented,262144,0.648438,339968,5242880,432437,8.248081,12.500000
5,standard,262144,0.638306,334656,5242880,425632,8.118286,12.500000
6,segmented,262144,0.869802,456027,5242880,286386,5.462379,6.250000
6,standard,262144,0.860546,451174,5242880,282795,5.393887,6.250000
7,segmented,262144,0.864025,452998,5242880,141839,2.705364,3.125000
7,standard,262144,0.866478,454284,5242880,141685,2.702427,3.125000
8,segmented,262144,0.871635,456988,5242880,71557,1.364841,1.562500
8,standard,262144,0.863224,452578,5242880,70718,1.348839,1.562500
9,segmented,262144,0.866037,454053,5242880,35667,0.680294,0.781250
9,standard,262144,0.865767,453911,5242880,35407,0.675335,0.781250
10,segmented,262144,0.868141,455156,5242880,17895,0.341320,0.390625
10,standard,262144,0.868666,455431,5242880,17719,0.337963,0.390625
11,segmented,262144,0.874134,458298,5242880,9023,0.172100,0.195312
11,standard,262144,0.867973,455068,5242880,8912,0.169983,0.195312
12,segmented,262144,0.872215,457292,5242880,4470,0.085258,0.097656
12,standard,262144,0.869469,455852,5242880,4435,0.084591,0.097656
13,segmented,262144,0.872982,457694,5242880,2224,0.042419,0.048828
13,standard,262144,0.871367,456847,5242880,2210,0.042152,0.048828
14,segmented,262144,0.873993,458224,5242880,1110,0.021172,0.024414
14,standard,262144,0.868107,455138,5242880,1098,0.020943,0.024414
15,segmented,262144,0.871105,456710,5242880,557,0.010624,0.012207
15,standard,262144,0.869024,455619,5242880,555,0.010586,0.012207
16,segmented,262144,0.871162,456740,5242880,273,0.005207,0.006104
16,standard,262144,0.873083,457747,5242880,273,0.005207,0.006104
17,segmented,262144,0.869930,456094,5242880,135,0.002575,0.003052
17,standard,262144,0.870285,456280,5242880,135,0.002575,0.003052
18,segmented,262144,0.869875,456065,5242880,63,0.001202,0.001526
18,standard,262144,0.873901,458176,5242880,62,0.001183,0.001526
19,segmented,262144,0.873001,457704,5242880,27,0.000515,0.000763
19,standard,262144,0.872093,457228,5242880,31,0.000591,0.000763
20,segmented,262144,0.871988,457173,5242880,17,0.000324,0.000381
20,standard,262144,0.873257,457838,5242880,18,0.000343,0.000381
21,segmented,262144,0.873856,458152,5242880,7,0.000134,0.000191
21,standard,262144,0.870829,456565,5242880,11,0.000210,0.000191
22,segmented,262144,0.871984,457171,5242880,3,0.000057,0.000095
22,standard,262144,0.872440,457410,5242880,7,0.000134,0.000095
23,segmented,262144,0.870865,456584,5242880,1,0.000019,0.000048
23,standard,262144,0.871378,456853,5242880,3,0.000057,0.000048
24,segmented,262144,0.873138,457776,5242880,0,0.000000,0.000024
24,standard,262144,0.868221,455198,5242880,1,0.000019,0.000024
25,segmented,262144,0.868811,455507,5242880,0,0.000000,0.000012
25,standard,262144,0.872938,457671,5242880,0,0.000000,0.000012
26,segmented,262144,0.868759,455480,5242880,0,0.000000,0.000006
26,standard,262144,0.862831,452372,5242880,0,0.000000,0.000006
27,segmented,262144,0.866087,454079,5242880,0,0.000000,0.000003
27,standard,262144,0.870508,456397,5242880,0,0.000000,0.000003
28,segmented,262144,0.873886,458168,5242880,0,0.000000,0.000001
28,standard,262144,0.872837,457618,5242880,0,0.000000,0.000001
29,segmented,262144,0.868126,455148,5242880,0,0.000000,0.000001
29,standard,262144,0.863716,452836,5242880,0,0.000000,0.000001
30,segmented,262144,0.870407,456344,5242880,0,0.000000,0.000000
30,standard,262144,0.872112,457238,5242880,0,0.000000,0.000000
31,segmented,262144,0.868885,455546,5242880,0,0.000000,0.000000
31,standard,262144,0.874161,458312,5242880,0,0.000000,0.000000
32,segmented,262144,0.869431,455832,5242880,0,0.000000,0.000000
32,standard,262144,0.873209,457813,5242880,0,0.000000,0.000000
