backend,mutation_kind,arity,num_buckets,bucket_size,value_bits,plaintext_bits,lwe_dim,n_mutations,load_factor,n_attempted,n_succeeded,total_ms,ops_per_s,delta_bytes_total,cells_per_slot,row_width,segment_rows,db_rows,db_cols
frodo,delete,4,2097152,2,2048,9,1566,41943,0.90,41943,41943,20016.230,2095.45,98604518,232,464,524288,524288,464
frodo,insert,4,2097152,2,8192,9,1566,41943,0.90,41943,41943,345127.287,121.53,961008462,914,1828,524288,524288,1828
frodo,update,4,2097152,2,8192,9,1566,41943,0.90,41943,41943,141044.506,297.37,380570824,914,1828,524288,524288,1828
frodo,delete,4,2097152,2,8192,9,1566,41943,0.90,41943,41943,141709.300,295.98,384862198,914,1828,524288,524288,1828
frodo,insert,3,786432,2,256,9,1566,15728,0.90,15728,15728,4542.346,3462.53,22661752,32,64,262144,262144,64
frodo,update,3,786432,2,256,9,1566,15728,0.90,15728,15728,963.449,16324.69,5009332,32,64,262144,262144,64
frodo,delete,3,786432,2,256,9,1566,15728,0.90,15728,15728,1071.184,14682.81,5535076,32,64,262144,262144,64
frodo,insert,3,786432,2,2048,9,1566,15728,0.90,15728,15728,35378.490,444.56,159457426,232,464,262144,262144,464
frodo,update,3,786432,2,2048,9,1566,15728,0.90,15728,15728,7377.094,2132.00,36140692,232,464,262144,262144,464
frodo,delete,3,786432,2,2048,9,1566,15728,0.90,15728,15728,7553.544,2082.20,36912466,232,464,262144,262144,464
frodo,insert,3,786432,2,8192,9,1566,15728,0.90,15728,15728,303557.972,51.81,631416084,914,1828,262144,262144,1828
frodo,update,3,786432,2,8192,9,1566,15728,0.90,15728,15728,50171.738,313.48,142645432,914,1828,262144,262144,1828
frodo,delete,3,786432,2,8192,9,1566,15728,0.90,15728,15728,51780.912,303.74,144254816,914,1828,262144,262144,1828
frodo,insert,3,1572864,2,256,9,1566,31457,0.90,31457,31457,9017.910,3488.28,45611614,32,64,524288,524288,64
frodo,update,3,1572864,2,256,9,1566,31457,0.90,31457,31457,1888.288,16659.01,10018986,32,64,524288,524288,64
frodo,delete,3,1572864,2,256,9,1566,31457,0.90,31457,31457,2099.229,14985.02,11070364,32,64,524288,524288,64
frodo,insert,3,1572864,2,2048,9,1566,31457,0.90,31457,31457,65213.293,482.37,315624108,232,464,524288,524288,464
frodo,update,3,1572864,2,2048,9,1566,31457,0.90,31457,31457,14419.406,2181.57,72283696,232,464,524288,524288,464
frodo,delete,3,1572864,2,2048,9,1566,31457,0.90,31457,31457,14825.394,2121.83,73827074,232,464,524288,524288,464
frodo,insert,3,1572864,2,8192,9,1566,31457,0.90,31457,31457,456593.338,68.90,1248499482,914,1828,524288,524288,1828
frodo,update,3,1572864,2,8192,9,1566,31457,0.90,31457,31457,100630.067,312.60,285300006,914,1828,524288,524288,1828
frodo,delete,3,1572864,2,8192,9,1566,31457,0.90,31457,31457,100792.948,312.10,288518644,914,1828,524288,524288,1828
frodo,insert,3,393216,3,256,9,1566,11796,0.90,11796,11796,1968.798,5991.47,10791032,32,96,131072,131072,96
frodo,update,3,393216,3,256,9,1566,11796,0.90,11796,11796,645.029,18287.55,3757066,32,96,131072,131072,96
frodo,delete,3,393216,3,256,9,1566,11796,0.90,11796,11796,701.909,16805.60,4151352,32,96,131072,131072,96
frodo,insert,3,393216,3,2048,9,1566,11796,0.90,11796,11796,18092.503,651.98,75294510,232,696,131072,131072,696
frodo,update,3,393216,3,2048,9,1566,11796,0.90,11796,11796,6127.271,1925.16,27106096,232,696,131072,131072,696
frodo,delete,3,393216,3,2048,9,1566,11796,0.90,11796,11796,6241.011,1890.08,27684352,232,696,131072,131072,696
frodo,insert,3,393216,3,8192,9,1566,11796,0.90,11796,11796,144267.763,81.76,300840280,914,2742,131072,131072,2742
frodo,update,3,393216,3,8192,9,1566,11796,0.90,11796,11796,98612.314,119.62,106986346,914,2742,131072,131072,2742
frodo,delete,3,393216,3,8192,9,1566,11796,0.90,11796,11796,50934.440,231.59,108191152,914,2742,131072,131072,2742
frodo,insert,3,1572864,3,256,8,1566,47185,0.90,47185,47185,9255.896,5097.83,48244592,36,108,524288,524288,108
frodo,update,3,1572864,3,256,8,1566,47185,0.90,47185,47185,2906.473,16234.45,16488088,36,108,524288,524288,108
frodo,delete,3,1572864,3,256,8,1566,47185,0.90,47185,47185,3201.946,14736.35,18430530,36,108,524288,524288,108
frodo,insert,3,1572864,3,2048,8,1566,47185,0.90,47185,47185,103660.380,455.19,337064030,260,780,524288,524288,780
frodo,update,3,1572864,3,2048,8,1566,47185,0.90,47185,47185,34524.374,1366.72,121355928,260,780,524288,524288,780
frodo,delete,3,1572864,3,2048,8,1566,47185,0.90,47185,47185,35307.540,1336.40,123712060,260,780,524288,524288,780
frodo,insert,3,1572864,3,8192,8,1566,47185,0.90,47185,47185,904648.892,52.16,1325547732,1028,3084,524288,524288,3084
frodo,update,3,1572864,3,8192,8,1566,47185,0.90,47185,47185,291896.876,161.65,480902808,1028,3084,524288,524288,3084
frodo,delete,3,1572864,3,8192,8,1566,47185,0.90,47185,47185,297942.551,158.37,484677310,1028,3084,524288,524288,3084
frodo,insert,4,524288,3,256,9,1566,15728,0.90,15728,15728,1811.787,8680.93,9895160,32,96,131072,131072,96
frodo,update,4,524288,3,256,9,1566,15728,0.90,15728,15728,851.039,18480.95,5072244,32,96,131072,131072,96
frodo,delete,4,524288,3,256,9,1566,15728,0.90,15728,15728,962.459,16341.48,5597988,32,96,131072,131072,96
frodo,insert,4,524288,3,2048,9,1566,15728,0.90,15728,15728,16226.822,969.26,67233156,232,696,131072,131072,696
frodo,update,4,524288,3,2048,9,1566,15728,0.90,15728,15728,8538.860,1841.93,36203604,232,696,131072,131072,696
frodo,delete,4,524288,3,2048,9,1566,15728,0.90,15728,15728,8358.046,1881.78,36975378,232,696,131072,131072,696
frodo,insert,4,524288,3,8192,9,1566,15728,0.90,15728,15728,179557.102,87.59,264203138,914,2742,131072,131072,2742
frodo,update,4,524288,3,8192,9,1566,15728,0.90,15728,15728,70253.948,223.87,142708344,914,2742,131072,131072,2742
frodo,delete,4,524288,3,8192,9,1566,15728,0.90,15728,15728,71369.361,220.37,144317728,914,2742,131072,131072,2742
frodo,insert,4,1048576,3,256,9,1566,31457,0.90,31457,31457,3676.009,8557.38,19912380,32,96,262144,262144,96
frodo,update,4,1048576,3,256,9,1566,31457,0.90,31457,31457,1735.944,18120.97,10144814,32,96,262144,262144,96
frodo,delete,4,1048576,3,256,9,1566,31457,0.90,31457,31457,2172.659,14478.57,11196192,32,96,262144,262144,96
frodo,insert,4,1048576,3,2048,9,1566,31457,0.90,31457,31457,32979.121,953.85,135772694,232,696,262144,262144,696
frodo,update,4,1048576,3,2048,9,1566,31457,0.90,31457,31457,16994.596,1851.00,72409524,232,696,262144,262144,696
frodo,delete,4,1048576,3,2048,9,1566,31457,0.90,31457,31457,17211.764,1827.65,73952902,232,696,262144,262144,696
