backend,arity,num_buckets,bucket_size,num_keys,db_size,value_bits,plaintext_bits,fingerprint_bits,lwe_dim,batch,mean_qps,min_qps,max_qps,stddev_qps,query_bytes,cells_per_slot,row_width,segment_rows,db_rows,db_cols,load_factor
simple,3,786432,2,1500000,1572864,256,10,32,1275,64,190415.78,107526.88,218752.94,17039.48,46968,29,58,262144,3913,3886,0.9537
simple,3,786432,2,1500000,1572864,2048,10,32,1275,64,84995.18,8885.14,108305.69,10493.85,125844,208,416,262144,10486,10400,0.9537
simple,3,786432,2,1500000,1572864,8192,10,32,1275,64,40511.43,4820.55,58330.99,7538.30,241992,823,1646,262144,20165,21398,0.9537
simple,4,524288,3,1500000,1572864,256,10,32,1275,64,150592.67,40218.79,184270.63,17783.31,53788,29,87,131072,3361,3393,0.9537
simple,4,524288,3,1500000,1572864,2048,10,32,1275,64,63780.63,4681.28,90899.41,10695.93,149820,208,624,131072,9363,8736,0.9537
simple,4,524288,3,1500000,1572864,8192,10,32,1275,64,26950.19,4631.99,46756.28,4871.93,299612,823,2469,131072,18725,17283,0.9537
simple,3,1572864,2,3000000,3145728,256,10,32,1275,64,140282.91,41878.24,186271.23,16531.88,66240,29,58,524288,5519,5510,0.9537
simple,3,1572864,2,3000000,3145728,2048,10,32,1275,64,64255.30,5042.36,86921.68,9335.22,174780,208,416,524288,14564,14976,0.9537
simple,3,1572864,2,3000000,3145728,8192,10,32,1275,64,28901.62,1754.94,46210.39,5179.51,349548,823,1646,524288,29128,29628,0.9537
simple,4,1048576,3,3000000,3145728,256,10,32,1275,64,114484.09,76712.33,139976.07,10386.27,76284,29,87,262144,4767,4785,0.9537
simple,4,1048576,3,3000000,3145728,2048,10,32,1275,64,47399.34,4816.80,69990.87,6449.80,209740,208,624,262144,13108,12480,0.9537
simple,4,1048576,3,3000000,3145728,8192,10,32,1275,64,23216.54,1932.42,34278.49,3851.16,419452,823,2469,262144,26215,24690,0.9537
simple,2,1048576,4,4000000,4194304,256,10,32,1275,64,174898.04,10755.58,211006.81,24868.32,62620,29,116,524288,7826,7772,0.9537
simple,2,1048576,4,4000000,4194304,2048,10,32,1275,64,58543.70,2868.51,76354.09,9287.50,167788,208,832,524288,20972,20800,0.9537
simple,2,1048576,4,4000000,4194304,8192,10,32,1275,64,31973.35,2706.84,46380.34,6018.60,322652,823,3292,524288,40330,42796,0.9537
simple,4,4194304,1,4000000,4194304,256,10,32,1275,64,98597.26,66361.40,135272.24,11004.47,88316,29,29,1048576,5519,5510,0.9537
simple,4,4194304,1,4000000,4194304,2048,10,32,1275,64,35749.15,2922.40,59611.46,6067.57,236316,208,208,1048576,14769,14768,0.9537
simple,4,4194304,1,4000000,4194304,8192,10,32,1275,64,22051.19,3280.79,30432.43,3989.09,466060,823,823,1048576,29128,29628,0.9537
simple,4,2097152,2,4000000,4194304,256,10,32,1275,64,108636.46,74183.98,146671.25,11050.52,88316,29,58,524288,5519,5510,0.9537
simple,4,2097152,2,4000000,4194304,2048,10,32,1275,64,33407.71,5905.10,58242.71,5438.34,233036,208,416,524288,14564,14976,0.9537
simple,4,2097152,2,4000000,4194304,8192,10,32,1275,64,21226.12,2876.42,28218.69,4119.92,466060,823,1646,524288,29128,29628,0.9537
