backend,arity,num_buckets,bucket_size,num_keys,db_size,value_bits,plaintext_bits,fingerprint_bits,lwe_dim,batch,mean_qps,min_qps,max_qps,stddev_qps,query_bytes,response_bytes,cells_per_slot,row_width,segment_rows,db_rows,db_cols,load_factor
simple,4,524288,3,1500000,1572864,2048,10,32,1275,64,7.56,7.00,8.13,0.23,149820,139788,208,624,131072,9363,8736,0.9537
simple,4,524288,3,1500000,1572864,8192,10,32,1275,64,1.92,1.82,2.01,0.04,299612,276540,823,2469,131072,18725,17283,0.9537
simple,3,1572864,2,3000000,3145728,256,10,32,1275,64,25.38,23.06,27.56,0.84,66240,66132,29,58,524288,5519,5510,0.9537
simple,3,1572864,2,3000000,3145728,2048,10,32,1275,64,3.73,3.50,3.94,0.08,174780,179724,208,416,524288,14564,14976,0.9537
simple,3,1572864,2,3000000,3145728,8192,10,32,1275,64,0.95,0.91,0.99,0.01,349548,355548,823,1646,524288,29128,29628,0.9537
simple,4,1048576,3,3000000,3145728,256,10,32,1275,64,25.87,24.29,27.21,0.72,76284,76572,29,87,262144,4767,4785,0.9537
simple,4,1048576,3,3000000,3145728,2048,10,32,1275,64,3.82,3.66,3.97,0.07,209740,199692,208,624,262144,13108,12480,0.9537
simple,4,1048576,3,3000000,3145728,8192,10,32,1275,64,0.96,0.91,0.99,0.01,419452,395052,823,2469,262144,26215,24690,0.9537
simple,2,1048576,4,4000000,4194304,256,10,32,1275,64,20.03,18.94,21.49,0.45,62620,62188,29,116,524288,7826,7772,0.9537
simple,2,1048576,4,4000000,4194304,2048,10,32,1275,64,2.77,2.64,2.92,0.06,167788,166412,208,832,524288,20972,20800,0.9537
simple,2,1048576,4,4000000,4194304,8192,10,32,1275,64,0.71,0.66,0.75,0.01,322652,342380,823,3292,524288,40330,42796,0.9537
simple,4,4194304,1,4000000,4194304,256,10,32,1275,64,13.97,13.23,14.31,0.15,88316,88172,29,29,1048576,5519,5510,0.9537
simple,4,4194304,1,4000000,4194304,2048,10,32,1275,64,2.67,2.55,2.83,0.06,236316,236300,208,208,1048576,14769,14768,0.9537
simple,4,4194304,1,4000000,4194304,8192,10,32,1275,64,0.69,0.66,0.72,0.01,466060,474060,823,823,1048576,29128,29628,0.9537
simple,4,2097152,2,4000000,4194304,256,10,32,1275,64,19.89,18.50,21.34,0.59,88316,88172,29,58,524288,5519,5510,0.9537
simple,4,2097152,2,4000000,4194304,2048,10,32,1275,64,2.73,2.58,2.83,0.06,233036,239628,208,416,524288,14564,14976,0.9537
simple,4,2097152,2,4000000,4194304,8192,10,32,1275,64,0.70,0.69,0.72,0.01,466060,474060,823,1646,524288,29128,29628,0.9537
