backend,arity,num_buckets,bucket_size,num_keys,db_size,value_bits,plaintext_bits,fingerprint_bits,lwe_dim,batch,mean_dps,min_dps,max_dps,stddev_dps,cells_per_slot,row_width,segment_rows,db_rows,db_cols,load_factor
simple,4,524288,3,1500000,1572864,8192,10,32,1275,64,11891.77,8496.90,13107.88,690.22,823,2469,131072,18725,17283,0.9537
simple,3,1572864,2,3000000,3145728,256,10,32,1275,64,62509.79,33875.34,74294.21,7164.92,29,58,524288,5519,5510,0.9537
simple,3,1572864,2,3000000,3145728,2048,10,32,1275,64,27136.84,13303.18,31877.59,2678.32,208,416,524288,14564,14976,0.9537
simple,3,1572864,2,3000000,3145728,8192,10,32,1275,64,13304.18,6687.17,14725.37,1135.25,823,1646,524288,29128,29628,0.9537
simple,4,1048576,3,3000000,3145728,256,10,32,1275,64,57151.53,18642.80,67659.00,6845.43,29,87,262144,4767,4785,0.9537
simple,4,1048576,3,3000000,3145728,2048,10,32,1275,64,22545.06,16889.32,25354.97,1394.73,208,624,262144,13108,12480,0.9537
simple,4,1048576,3,3000000,3145728,8192,10,32,1275,64,10335.49,7056.62,11343.01,595.86,823,2469,262144,26215,24690,0.9537
simple,2,1048576,4,4000000,4194304,256,10,32,1275,64,70638.55,40567.95,86580.09,7167.62,29,116,524288,7826,7772,0.9537
simple,2,1048576,4,4000000,4194304,2048,10,32,1275,64,26257.29,16366.61,30012.00,2708.77,208,832,524288,20972,20800,0.9537
simple,2,1048576,4,4000000,4194304,8192,10,32,1275,64,12259.88,5341.31,13958.68,1264.29,823,3292,524288,40330,42796,0.9537
simple,4,4194304,1,4000000,4194304,256,10,32,1275,64,48892.25,16239.04,62656.64,6691.82,29,29,1048576,5519,5510,0.9537
simple,4,4194304,1,4000000,4194304,2048,10,32,1275,64,23568.34,17455.05,27307.48,1604.51,208,208,1048576,14769,14768,0.9537
simple,4,4194304,1,4000000,4194304,8192,10,32,1275,64,12266.22,7310.48,13837.00,1154.38,823,823,1048576,29128,29628,0.9537
simple,4,2097152,2,4000000,4194304,256,10,32,1275,64,52479.46,29620.85,64683.05,5072.81,29,58,524288,5519,5510,0.9537
simple,4,2097152,2,4000000,4194304,2048,10,32,1275,64,17210.28,9076.06,20704.47,2173.19,208,416,524288,14564,14976,0.9537
simple,4,2097152,2,4000000,4194304,8192,10,32,1275,64,10370.73,6431.70,11774.40,860.72,823,1646,524288,29128,29628,0.9537
