backend,mutation_kind,arity,num_buckets,bucket_size,value_bits,plaintext_bits,lwe_dim,n_mutations,load_factor,n_succeeded,total_ms,ops_per_s,cells_per_slot,row_width,segment_rows,db_rows,db_cols
frodo,insert,3,786432,2,2048,9,1566,15728,0.90,15728,27292.225,576.28,232,464,262144,262144,464
frodo,update,3,786432,2,2048,9,1566,15728,0.90,15728,6141.337,2561.01,232,464,262144,262144,464
frodo,delete,3,786432,2,2048,9,1566,15728,0.90,15728,6258.477,2513.07,232,464,262144,262144,464
frodo,insert,3,786432,2,8192,9,1566,15728,0.90,15728,213675.373,73.61,914,1828,262144,262144,1828
frodo,update,3,786432,2,8192,9,1566,15728,0.90,15728,49356.128,318.66,914,1828,262144,262144,1828
frodo,delete,3,786432,2,8192,9,1566,15728,0.90,15728,48898.516,321.65,914,1828,262144,262144,1828
frodo,insert,3,1572864,2,256,9,1566,31457,0.90,31457,7864.563,3999.84,32,64,524288,524288,64
frodo,update,3,1572864,2,256,9,1566,31457,0.90,31457,1720.089,18288.01,32,64,524288,524288,64
frodo,delete,3,1572864,2,256,9,1566,31457,0.90,31457,1960.146,16048.29,32,64,524288,524288,64
frodo,insert,3,1572864,2,2048,9,1566,31457,0.90,31457,54293.967,579.38,232,464,524288,524288,464
frodo,update,3,1572864,2,2048,9,1566,31457,0.90,31457,12298.000,2557.90,232,464,524288,524288,464
frodo,delete,3,1572864,2,2048,9,1566,31457,0.90,31457,12508.509,2514.85,232,464,524288,524288,464
frodo,insert,3,1572864,2,8192,9,1566,31457,0.90,31457,418702.016,75.13,914,1828,524288,524288,1828
frodo,update,3,1572864,2,8192,9,1566,31457,0.90,31457,98224.382,320.26,914,1828,524288,524288,1828
frodo,delete,3,1572864,2,8192,9,1566,31457,0.90,31457,95878.996,328.09,914,1828,524288,524288,1828
frodo,insert,3,393216,3,256,9,1566,11796,0.90,11796,1521.612,7752.30,32,96,131072,131072,96
frodo,update,3,393216,3,256,9,1566,11796,0.90,11796,520.797,22649.88,32,96,131072,131072,96
frodo,delete,3,393216,3,256,9,1566,11796,0.90,11796,589.534,20009.03,32,96,131072,131072,96
