scheme,arity,num_buckets,bucket_size,degree,count
segmented,2,65536,3,0,224
segmented,2,65536,3,1,1316
segmented,2,65536,3,2,3688
segmented,2,65536,3,3,6934
segmented,2,65536,3,4,9682
segmented,2,65536,3,5,11000
segmented,2,65536,3,6,10419
segmented,2,65536,3,7,8586
segmented,2,65536,3,8,5927
segmented,2,65536,3,9,3791
segmented,2,65536,3,10,2028
segmented,2,65536,3,11,1069
segmented,2,65536,3,12,521
segmented,2,65536,3,13,206
segmented,2,65536,3,14,98
segmented,2,65536,3,15,28
segmented,2,65536,3,16,11
segmented,2,65536,3,17,6
segmented,2,65536,3,18,2
standard,2,65536,3,0,224
standard,2,65536,3,1,1335
standard,2,65536,3,2,3703
standard,2,65536,3,3,6956
standard,2,65536,3,4,9767
standard,2,65536,3,5,11093
standard,2,65536,3,6,10467
standard,2,65536,3,7,8302
standard,2,65536,3,8,5927
standard,2,65536,3,9,3711
standard,2,65536,3,10,2111
standard,2,65536,3,11,1083
standard,2,65536,3,12,509
standard,2,65536,3,13,225
standard,2,65536,3,14,85
standard,2,65536,3,15,27
standard,2,65536,3,16,7
standard,2,65536,3,17,2
standard,2,65536,3,18,2
segmented,3,49152,3,0,4
segmented,3,49152,3,1,64
segmented,3,49152,3,2,236
segmented,3,49152,3,3,770
segmented,3,49152,3,4,1773
segmented,3,49152,3,5,3150
segmented,3,49152,3,6,4458
segmented,3,49152,3,7,5858
segmented,3,49152,3,8,6654
segmented,3,49152,3,9,6481
segmented,3,49152,3,10,5732
segmented,3,49152,3,11,4762
segmented,3,49152,3,12,3435
segmented,3,49152,3,13,2357
segmented,3,49152,3,14,1526
segmented,3,49152,3,15,893
segmented,3,49152,3,16,484
segmented,3,49152,3,17,281
segmented,3,49152,3,18,129
segmented,3,49152,3,19,58
segmented,3,49152,3,20,31
segmented,3,49152,3,21,9
segmented,3,49152,3,22,6
segmented,3,49152,3,23,1
standard,3,59049,3,0,7
standard,3,59049,3,1,69
standard,3,59049,3,2,332
standard,3,59049,3,3,851
standard,3,59049,3,4,2113
standard,3,59049,3,5,3714
standard,3,59049,3,6,5611
